Accession	Organism	Kingdom	Sequence length	SP cleavage
Q8T0W1	Pimpla hypochondriaca	Metazoa	115	22
Q8T0W3	Pimpla hypochondriaca	Metazoa	63	25
Q8T113	Bombyx mori	Metazoa	227	17
A0A0F7YYX3	Conus victoriae	Metazoa	196	25
P86872	Margaritifera margaritifera	Metazoa	260	19
Q7Z1K3	Anisakis simplex	Metazoa	194	23
B3STN7	Nosema bombycis (strain CQ1 / CVCC 102059)	Fungi	316	18
O02380	Tyrophagus putrescentiae	Metazoa	141	15
O76192	Galleria mellonella	Metazoa	167	17
P43174	Ambrosia psilostachya	Viridiplantae	77	22
Q0ZS87	Phlebotomus perniciosus	Metazoa	393	18
Q9TT95	Sus scrofa	Metazoa	120	22
B3STN5	Nosema bombycis (strain CQ1 / CVCC 102059)	Fungi	278	19
E0X9F6	Thaumetopoea pityocampa	Metazoa	126	18
P05560	Dromaius novaehollandiae	Metazoa	207	23
P0DMD3	Scolopendra mutilans	Metazoa	105	21
P42579	Lymnaea stagnalis	Metazoa	100	23
Q00802	Bombyx mori	Metazoa	256	17
Q39962	Hevea brasiliensis	Viridiplantae	238	31
Q7M3V1	Chelonus sp. nr. curvimaculatus	Metazoa	246	20
Q8MMH5	Pimpla hypochondriaca	Metazoa	61	20
I6RA76	Scolopendra mutilans	Metazoa	64	18
P91629	Drosophila miranda	Metazoa	126	16
